lat,lon,HU
31.25,291.75,True
31.5,291.25,True
31.5,291.5,True
31.5,291.75,True
31.5,292.0,True
31.75,291.0,True
31.75,291.25,True
31.75,291.5,True
31.75,291.75,True
31.75,292.0,True
31.75,292.25,True
32.0,290.5,True
32.0,290.75,True
32.0,291.0,True
32.0,291.25,True
32.0,291.5,True
32.0,291.75,True
32.0,292.0,True
32.0,292.25,True
32.0,292.5,True
32.25,290.0,True
32.25,290.25,True
32.25,290.5,True
32.25,290.75,True
32.25,291.0,True
32.25,291.25,True
32.25,291.5,True
32.25,291.75,True
32.25,292.0,True
32.25,292.25,True
32.25,292.5,True
32.25,292.75,True
32.5,289.75,True
32.5,290.0,True
32.5,290.25,True
32.5,290.5,True
32.5,290.75,True
32.5,291.0,True
32.5,291.25,True
32.5,291.5,True
32.5,291.75,True
32.5,292.0,True
32.5,292.25,True
32.5,292.5,True
32.5,292.75,True
32.5,293.0,True
32.75,289.25,True
32.75,289.5,True
32.75,289.75,True
32.75,290.0,True
32.75,290.25,True
32.75,290.5,True
32.75,290.75,True
32.75,291.0,True
32.75,291.25,True
32.75,291.5,True
32.75,291.75,True
32.75,292.0,True
32.75,292.25,True
32.75,292.5,True
32.75,292.75,True
32.75,293.0,True
32.75,293.25,True
33.0,288.75,True
33.0,289.0,True
33.0,289.25,True
33.0,289.5,True
33.0,289.75,True
33.0,290.0,True
33.0,290.25,True
33.0,290.5,True
33.0,290.75,True
33.0,291.0,True
33.0,291.25,True
33.0,291.5,True
33.0,291.75,True
33.0,292.0,True
33.0,292.25,True
33.0,292.5,True
33.0,292.75,True
33.0,293.0,True
33.0,293.25,True
33.0,293.5,True
33.25,288.25,True
33.25,288.5,True
33.25,288.75,True
33.25,289.0,True
33.25,289.25,True
33.25,289.5,True
33.25,289.75,True
33.25,290.0,True
33.25,290.25,True
33.25,290.5,True
33.25,290.75,True
33.25,291.0,True
33.25,291.25,True
33.25,291.5,True
33.25,291.75,True
33.25,292.0,True
33.25,292.25,True
33.25,292.5,True
33.25,292.75,True
33.25,293.0,True
33.25,293.25,True
33.25,293.5,True
33.5,288.0,True
33.5,288.25,True
33.5,288.5,True
33.5,288.75,True
33.5,289.0,True
33.5,289.25,True
33.5,289.5,True
33.5,289.75,True
33.5,290.0,True
33.5,290.25,True
33.5,290.5,True
33.5,290.75,True
33.5,291.0,True
33.5,291.25,True
33.5,291.5,True
33.5,291.75,True
33.5,292.0,True
33.5,292.25,True
33.5,292.5,True
33.5,292.75,True
33.5,293.0,True
33.5,293.25,True
33.5,293.5,True
33.5,293.75,True
33.75,287.5,True
33.75,287.75,True
33.75,288.0,True
33.75,288.25,True
33.75,288.5,True
33.75,288.75,True
33.75,289.0,True
33.75,289.25,True
33.75,289.5,True
33.75,289.75,True
33.75,290.0,True
33.75,290.25,True
33.75,290.5,True
33.75,290.75,True
33.75,291.0,True
33.75,291.25,True
33.75,291.5,True
33.75,291.75,True
33.75,292.0,True
33.75,292.25,True
33.75,292.5,True
33.75,292.75,True
33.75,293.0,True
33.75,293.25,True
33.75,293.5,True
33.75,293.75,True
33.75,294.0,True
34.0,287.0,True
34.0,287.25,True
34.0,287.5,True
34.0,287.75,True
34.0,288.0,True
34.0,288.25,True
34.0,288.5,True
34.0,288.75,True
34.0,289.0,True
34.0,289.25,True
34.0,289.5,True
34.0,289.75,True
34.0,290.0,True
34.0,290.25,True
34.0,290.5,True
34.0,290.75,True
34.0,291.0,True
34.0,291.25,True
34.0,291.5,True
34.0,291.75,True
34.0,292.0,True
34.0,292.25,True
34.0,292.5,True
34.0,292.75,True
34.0,293.0,True
34.0,293.25,True
34.0,293.5,True
34.0,293.75,True
34.0,294.0,True
34.0,294.25,True
34.25,286.5,True
34.25,286.75,True
34.25,287.0,True
34.25,287.25,True
34.25,287.5,True
34.25,287.75,True
34.25,288.0,True
34.25,288.25,True
34.25,288.5,True
34.25,288.75,True
34.25,289.0,True
34.25,289.25,True
34.25,289.5,True
34.25,289.75,True
34.25,290.0,True
34.25,290.25,True
34.25,290.5,True
34.25,290.75,True
34.25,291.0,True
34.25,291.25,True
34.25,291.5,True
34.25,291.75,True
34.25,292.0,True
34.25,292.25,True
34.25,292.5,True
34.25,292.75,True
34.25,293.0,True
34.25,293.25,True
34.25,293.5,True
34.25,293.75,True
34.25,294.0,True
34.25,294.25,True
34.25,294.5,True
34.5,286.0,True
34.5,286.25,True
34.5,286.5,True
34.5,286.75,True
34.5,287.0,True
34.5,287.25,True
34.5,287.5,True
34.5,287.75,True
34.5,288.0,True
34.5,288.25,True
34.5,288.5,True
34.5,288.75,True
34.5,289.0,True
34.5,289.25,True
34.5,289.5,True
34.5,289.75,True
34.5,290.0,True
34.5,290.25,True
34.5,290.5,True
34.5,290.75,True
34.5,291.0,True
34.5,291.25,True
34.5,291.5,True
34.5,291.75,True
34.5,292.0,True
34.5,292.25,True
34.5,292.5,True
34.5,292.75,True
34.5,293.0,True
34.5,293.25,True
34.5,293.5,True
34.5,293.75,True
34.5,294.0,True
34.5,294.25,True
34.5,294.5,True
34.5,294.75,True
34.75,285.5,True
34.75,285.75,True
34.75,286.0,True
34.75,286.25,True
34.75,286.5,True
34.75,286.75,True
34.75,287.0,True
